geometry,elevation,vapor pressure,precipitation,sand,clay,silt,SR,temp,water storage
"POLYGON ((-101.417209 40.002424, -101.411042549953 40.0023645110938, -101.409953 40.002354, -101.39583333333144 40.00242018531826, -101.39583333333144 39.9791666666679, -101.43749999999811 39.9791666666679, -101.43749999999811 40.00245401531217, -101.417209 40.002424))",982,17.00000008,506.0000022,14.366739,25.04162804,60.59162525,20.99999875,10.99999934,19.2755984
"POLYGON ((-101.374326 40.002521, -101.35416666666477 40.0025587983496, -101.35416666666477 39.9791666666679, -101.39583333333144 39.9791666666679, -101.39583333333144 40.00242018531826, -101.374326 40.002521))",953,17,510.0000023,15.27487772,25.49882786,59.22628247,21,11,19.13071333
"POLYGON ((-101.342859 40.002579999999995, -101.32551390689501 40.0026868921426, -101.324036 40.002696, -101.3124999999981 40.00264339783657, -101.3124999999981 39.9791666666679, -101.35416666666477 39.9791666666679, -101.35416666666477 40.0025587983496, -101.342859 40.002579999999995))",936,17,514.0000023,15.28502145,24.81626776,59.89871465,21,11,19.3585464
"POLYGON ((-101.293991 40.002559, -101.28655499999999 40.002559, -101.27083333333142 40.00255235973109, -101.27083333333142 39.9791666666679, -101.3124999999981 39.9791666666679, -101.3124999999981 40.00264339783657, -101.293991 40.002559))",969,17,517.0000023,11.69453764,23.54650544,64.75895901,21,11,19.75190828
"POLYGON ((-101.248673 40.002542999999996, -101.22916666666475 40.00254995826397, -101.22916666666475 39.9791666666679, -101.27083333333142 39.9791666666679, -101.27083333333142 40.00255235973109, -101.248673 40.002542999999996))",952,16.99999899,518.9999714,11.01710463,23.35526177,65.62762743,20.99999875,10.99999934,19.80999829
"POLYGON ((-101.215033 40.002555, -101.210263053319 40.0025416188925, -101.192219 40.002491, -101.1874999999981 40.002482908677464, -101.1874999999981 39.9791666666679, -101.22916666666475 39.9791666666679, -101.22916666666475 40.00254995826397, -101.215033 40.002555))",937,17,522.0000023,11.05698914,22.91993279,66.02308393,21,11,19.95559019
"POLYGON ((-101.18689199851501 40.002481866182, -101.178805 40.002468, -101.168704 40.002547, -101.14583333333141 40.002474388946204, -101.14583333333141 39.9791666666679, -101.1874999999981 39.9791666666679, -101.1874999999981 40.002482908677464, -101.18689199851501 40.002481866182))",929,16.99999899,524.0000024,11.16229446,21.77049051,67.06720928,20.99999875,10.99999934,20.33999894
"POLYGON ((-101.130907 40.002427, -101.10416666666475 40.00238154256972, -101.10416666666475 39.9791666666679, -101.14583333333141 39.9791666666679, -101.14583333333141 40.002474388946204, -101.130907 40.002427))",935,17,527.0000024,11.07594341,22.71303521,66.21102134,21,11,20.02478203
"POLYGON ((-101.098029118812 40.0023711089992, -101.06249999999808 40.00231071100721, -101.06249999999808 39.9791666666679, -101.10416666666475 39.9791666666679, -101.10416666666475 40.00238154256972, -101.098029118812 40.0023711089992))",924,17,530.0000024,11.09788891,22.4734878,66.42861734,21,11,20.10489307
"POLYGON ((-101.060317 40.002306999999995, -101.027686 40.002255999999996, -101.02083333333141 40.00224757262986, -101.02083333333141 39.9791666666679, -101.06249999999808 39.9791666666679, -101.06249999999808 40.00231071100721, -101.060317 40.002306999999995))",903,17,531.0000024,11.09025379,22.55683927,66.35290991,21,11,20.07702001
"POLYGON ((-100.984844104147 40.0022033132824, -100.97916666666474 40.002196331202384, -100.97916666666474 39.9791666666679, -101.02083333333141 39.9791666666679, -101.02083333333141 40.00224757262986, -100.984844104147 40.0022033132824))",894,17,532.0000024,12.81866716,22.85926751,64.32206522,21,11,19.94031377
"POLYGON ((-100.96226782612202 40.0021755491053, -100.93749999999807 40.00214508977498, -100.93749999999807 39.9791666666679, -100.97916666666474 39.9791666666679, -100.97916666666474 40.002196331202384, -100.96226782612202 40.0021755491053))",871,17,534.0000024,13.3663815,22.13213245,64.50148166,21,11,20.17374814
"POLYGON ((-100.937427 40.002145, -100.8958333333314 40.002181563915755, -100.8958333333314 39.9791666666679, -100.93749999999807 39.9791666666679, -100.93749999999807 40.00214508977498, -100.937427 40.002145))",873,17,536.0000024,11.16229512,21.7704918,67.06721328,21,11,20.34000015
"POLYGON ((-100.871047256419 40.0022033527144, -100.85416666666472 40.00221819200394, -100.85416666666472 39.9791666666679, -100.8958333333314 39.9791666666679, -100.8958333333314 40.002181563915755, -100.871047256419 40.0022033527144))",893,16.99999899,537.9999704,12.82179807,21.89512994,65.27953524,20.99999875,10.99999934,20.33333802
"POLYGON ((-100.81249999999805 40.00225482009214, -100.81249999999805 39.9791666666679, -100.85416666666472 39.9791666666679, -100.85416666666472 40.00221819200394, -100.81249999999805 40.00225482009214))",890,17,539.0000025,13.30928146,22.33842091,64.33807907,21,11,20.38158397
"POLYGON ((-100.77083333333138 40.00229144818035, -100.77083333333138 39.9791666666679, -100.81249999999805 39.9791666666679, -100.81249999999805 40.00225482009214, -100.77083333333138 40.00229144818035))",881,16.99999899,540.9999702,13.16752866,22.36302015,64.45469509,20.99999875,10.99999934,20.3865033
"POLYGON ((-100.75883 40.002302, -100.752183 40.002128, -100.749622287449 40.0021472524584, -100.73882584525201 40.002228424417495, -100.733296 40.002269999999996, -100.729904 40.002111, -100.72916666666472 40.00210747128531, -100.72916666666472 39.9791666666679, -100.77083333333138 39.9791666666679, -100.77083333333138 40.00229144818035, -100.75883 40.002302))",875,16.99999899,541.9999702,11.66912967,22.6230643,65.68743965,20.99999875,10.99999934,20.43851805
